,Measure Number,Date,Timezone,Stream Flow (ft3/s),Gage Height (ft),Gage Change (ft),Meas. Duration (hr),Control
119,120,2007-05-04,CST,102,1.98,0.00,0.70,DebrisLight
120,121,2007-07-18,CST,28.6,1.24,0.00,0.70, 
121,122,2007-08-21,CST,1600,5.73,0.00,0.10,Clear
122,123,2007-10-16,CST,72.2,1.59,0.01,0.50,DebrisModerate
123,124,2008-01-04,CST,61.0,1.79, , ,IceShore
124,125,2008-04-03,CST,416,3.18,0.00,0.10,Clear
125,126,2008-06-10,CST,898,4.55,0.00, ,DebrisLight
126,127,2008-09-15,CST,2890,7.09,0.00,0.10,Clear
127,128,2008-11-05,CST,30.4,1.18,0.00,0.50,DebrisHeavy
128,129,2008-12-03,CST,88.2,1.64,-0.01,1.30,Clear
129,130,2009-04-09,CST,104,1.78, ,1.00,Unspecifed
130,131,2009-07-02,CST,53.2,1.39, ,0.80,DebrisLight
131,132,2009-09-03,CST,58.1,1.44, , ,DebrisLight
132,133,2009-10-15,CST,35.9,1.28,0.00,0.80,DebrisModerate
133,134,2010-01-12,CST,48.2,1.96,-0.05,1.10,IceCover
134,135,2010-03-31,CST,65.7,1.52, , ,Clear
135,136,2010-06-03,CST,234,2.61,0.00,0.20,Clear
136,137,2010-08-24,CST,37.4,1.26,0.00,0.10,DebrisLight
137,138,2010-10-21,CST,19.5,1.11,0.00,0.80,DebrisHeavy
138,139,2011-01-05,CST,81.0,1.63,-0.06,1.10,IceShore
139,140,2011-03-22,CST,445,3.41,-0.01, ,Clear
140,141,2011-08-08,CST,446,3.43, ,0.20,Unspecifed
141,142,2011-09-26,CST,411,3.31,0.00,0.30,Clear
142,143,2011-12-02,CST,77.9,1.55, , , 
143,144,2012-01-06,CST,58.6,1.38, , ,Clear
144,145,2012-03-21,CST,45.4,1.29, , ,DebrisLight
145,146,2012-04-24,CST,84.2,1.51,0.00,1.00,Clear
146,147,2012-06-14,CST,20.8,1.05,0.00,1.20,DebrisLight
147,148,2012-08-14,CST,117,1.79, , ,Clear
148,149,2012-10-02,CST,17.2,0.97, , ,DebrisHeavy
149,150,2012-11-20,CST,20.4,1.04,0.00,0.50,DebrisLight
150,151,2013-02-05,CST,126,2.14,0.00,1.20,IceAnchor
151,152,2013-03-27,CST,90.5,1.62,0.01,0.50,DebrisLight
152,153,2013-04-18,CST,3770,7.95,0.04,1.00,DebrisModerate
153,154,2013-05-14,CST,45.6,1.36,0.00,0.60,Clear
154,155,2013-07-22,CST,222,2.47,60.00,0.30,DebrisLight
155,156,2013-09-04,CST,26.2,1.24,0.00,0.80,DebrisHeavy
